Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-11-01 00:00:00,47157,"Shelby, TN",53,,184950.000000,-0.0268,0.0572,2991.5,-0.0063,-0.0106,58.00,0.0357,-0.0720,948.0,-0.0849,0.0304,50.0,-0.0741,0.3158,664.0,-0.2000,0.1216,901.5,-0.0516,-0.1845,252449.0000,-0.0358,0.0035,3893.0,-0.0172,-0.0572,0.3014,-0.0144,-0.0643
2018-11-01 00:00:00,09003,"Hartford, CT",54,,249950.000000,-0.0002,0.0204,4492.0,-0.0494,0.0709,72.50,0.0507,0.0902,858.0,-0.2085,-0.1298,30.0,-0.3182,0.8750,926.0,-0.1976,0.0289,0.0,,,312826.0000,0.0013,-0.0065,4492.0,-0.0494,0.0709,0.0000,0.0000,0.0000
2018-11-01 00:00:00,34003,"Bergen, NJ",55,,599050.000000,0.0000,-0.0015,4675.5,-0.0594,0.1008,66.00,0.0154,-0.0833,1018.0,-0.3008,0.0325,18.0,-0.6250,-0.2500,878.0,-0.2133,0.4585,0.5,-0.5000,-0.7500,953798.0000,0.0459,-0.0049,4676.0,-0.0594,0.1004,0.0001,-0.0001,-0.0004
2018-11-01 00:00:00,09001,"Fairfield, CT",56,,749050.000000,0.0000,0.0122,7984.5,-0.0664,0.0599,102.50,0.0099,0.1081,1068.0,-0.2624,-0.0220,26.0,-0.1333,-0.3158,1210.0,-0.2658,0.1000,21.5,0.1944,-0.0227,1405803.0000,0.0204,-0.0033,8006.0,-0.0658,0.0596,0.0027,0.0006,-0.0002
2018-11-01 00:00:00,17043,"DuPage, IL",57,,365050.000000,-0.0120,-0.0230,5441.5,-0.0845,0.0847,59.00,0.1346,-0.0084,1210.0,-0.2577,-0.0098,30.0,-0.1667,0.8750,1078.0,-0.3116,0.1978,161.0,-0.1178,-0.1031,519091.0000,0.0051,-0.0029,5602.5,-0.0855,0.0782,0.0296,-0.0011,-0.0062
2018-11-01 00:00:00,26099,"Macomb, MI",58,*,209950.000000,0.0002,0.0827,2797.5,-0.0358,0.0864,43.50,0.1299,-0.0543,1176.0,-0.2222,0.1179,44.0,-0.1200,0.0476,1050.0,-0.1985,0.1693,759.0,-0.0844,758.0000,258425.0000,0.0023,0.0470,3556.5,-0.0466,0.3806,0.2713,-0.0144,0.2709
2018-11-01 00:00:00,39061,"Hamilton, OH",59,,228000.000000,-0.0087,0.1403,2416.5,-0.0234,0.0411,53.50,0.0388,-0.0446,748.0,-0.2821,-0.0209,8.0,-0.7143,-0.6667,734.0,-0.2208,0.1651,1251.0,-0.0689,-0.0908,342944.0000,-0.0184,0.0512,3667.5,-0.0394,-0.0080,0.5177,-0.0252,-0.0752
2018-11-01 00:00:00,09009,"New Haven, CT",60,,265050.000000,-0.0233,0.0214,4386.0,-0.0565,-0.0146,82.50,0.0443,0.0377,742.0,-0.2490,-0.1332,22.0,-0.2143,0.3750,834.0,-0.1950,0.0611,0.0,,,358764.0000,-0.0121,-0.0287,4386.0,-0.0565,-0.0146,0.0000,0.0000,0.0000
2018-11-01 00:00:00,48085,"Collin, TX",61,,389995.000000,0.0013,-0.0003,4659.0,-0.0265,0.1539,67.50,-0.0074,0.1638,1310.0,0.0266,0.0531,148.0,-0.1494,0.3455,1722.0,-0.1991,0.2127,1006.0,-0.0035,-0.1916,461178.0000,-0.0029,-0.0046,5665.0,-0.0225,0.0725,0.2159,0.0050,-0.0923
2018-11-01 00:00:00,41051,"Multnomah, OR",62,,449950.000000,0.0020,0.0357,2785.5,-0.0861,0.4172,55.00,0.2088,0.1957,836.0,-0.3192,-0.0413,84.0,0.0000,0.2353,1088.0,-0.2507,0.6047,8.0,-0.3043,-0.6800,562742.0000,0.0107,0.0319,2793.5,-0.0869,0.4034,0.0029,-0.0009,-0.0098
2018-11-01 00:00:00,15003,"Honolulu, HI",63,,698306.500000,0.0083,0.0120,2976.0,0.0382,0.2767,66.00,0.0000,0.0645,1046.0,0.0652,0.0964,26.0,-0.1333,0.3000,536.0,-0.2118,0.2642,1.5,0.5000,,1155769.0000,-0.0104,-0.0837,2977.5,0.0384,0.2773,0.0005,0.0002,0.0005
2018-11-01 00:00:00,24005,"Baltimore, MD",64,,275045.000000,-0.0018,0.0516,2817.5,-0.0021,-0.0446,54.00,0.0385,-0.1429,912.0,-0.1493,0.0654,40.0,-0.2593,-0.0476,872.0,-0.1711,0.1534,1.0,0.0000,-0.3333,364624.0000,-0.0231,-0.0108,2818.5,-0.0021,-0.0447,0.0004,0.0000,-0.0002
2018-11-01 00:00:00,24033,"Prince George's, MD",65,,315050.000000,0.0000,0.0179,2881.5,0.0047,0.0925,50.50,0.0745,-0.0561,946.0,-0.1643,-0.1075,86.0,-0.1887,0.0750,776.0,-0.1814,0.2050,0.0,,,337218.0000,-0.0031,0.0050,2881.5,0.0047,0.0925,0.0000,0.0000,0.0000
2018-11-01 00:00:00,53053,"Pierce, WA",66,,399300.000000,0.0108,0.0938,2060.0,-0.1008,0.2455,52.00,0.1429,0.0000,814.0,-0.2218,0.0882,28.0,-0.4815,-0.5333,760.0,-0.2593,0.5702,1112.5,-0.0655,0.0325,483115.0000,0.0060,0.0460,3172.5,-0.0888,0.1614,0.5400,0.0204,-0.1114
